#{"t_start": 1784477804.0824566, "env_id": "None"}
r,l,t
8.1,20,17.209064
10.0,1,17.212064
8.3,18,17.59063
9.8,3,17.603632
8.7,14,17.652141
9.7,4,17.665643
9.4,7,17.694648
9.5,6,17.715651
7.5,26,17.808668
8.4,17,17.863177
8.7,14,17.905185
9.4,7,17.925188
9.1,10,17.953193
8.1,20,18.010703
7.5,26,18.088216
8.8,13,18.129723
8.8,13,18.16623
8.9,12,18.200236
9.0,11,18.230741
8.1,20,18.287251
8.0,21,18.675318
7.1,30,18.760833
8.4,17,18.808341
8.6,15,18.850348
8.7,14,18.890355
8.4,17,18.940864
9.4,7,18.960868
6.9,32,19.053884
8.0,21,19.115894
7.2,29,19.232915
9.4,7,19.256419
9.4,7,19.282924
8.8,13,19.32193
7.6,25,19.391943
9.7,4,19.406445
9.2,9,19.431449
8.6,15,19.78301
7.8,23,19.850022
8.7,14,19.89553
8.2,19,19.95454
8.3,18,20.007049
9.6,5,20.021052
9.8,3,20.029553
9.4,7,20.049057
9.6,5,20.063559
9.7,4,20.074561
10.0,1,20.077562
8.7,14,20.116568
9.2,9,20.141573
9.4,7,20.161076
9.1,10,20.189081
8.1,20,20.247091
8.1,20,20.306101
9.0,11,20.336607
9.6,5,20.350609
8.0,21,20.410119
9.5,6,20.430123
7.5,26,20.502135
9.9,2,20.828692
7.9,22,20.889702
9.6,5,20.904705
9.6,5,20.919208
9.5,6,20.93671
-6.0,60,21.113241
7.7,24,21.182754
9.7,4,21.194255
9.3,8,21.22326
8.4,17,21.270769
8.4,17,21.319777
8.0,21,21.378787
9.8,3,21.387289
8.4,17,21.438798
9.3,8,21.461802
4.6,46,21.908879
8.3,18,21.961389
9.2,9,21.988893
8.0,21,22.054404
8.6,15,22.096912
7.3,28,22.183927
9.7,4,22.197929
7.5,26,22.271942
7.8,23,22.339454
7.8,23,22.406466
7.6,25,22.482479
7.7,24,22.549991
9.1,10,22.577996
9.4,7,22.598499
8.8,13,22.636005
8.4,17,23.034075
8.8,13,23.082083
8.5,16,23.137093
8.8,13,23.174099
9.1,10,23.202604
9.5,6,23.223608
8.9,12,23.265115
7.7,24,23.343128
8.7,14,23.391137
8.2,19,23.454648
7.5,26,23.531661
8.0,21,23.599173
9.0,11,23.630178
7.2,29,23.726194
8.1,20,23.793706
7.6,25,24.21778
9.5,6,24.234783
9.3,8,24.263288
9.6,5,24.281791
7.9,22,24.358804
9.4,7,24.382809
8.8,13,24.441819
9.3,8,24.473825
7.8,23,24.556339
8.4,17,24.616349
7.7,24,24.697363
8.2,19,24.765375
8.8,13,24.809883
9.7,4,24.824385
9.1,10,24.856891
7.5,26,24.947907
9.4,7,24.971411
9.4,7,24.998415
8.6,15,25.046924
8.5,16,25.447493
7.7,24,25.533008
7.5,26,25.619523
8.0,21,25.680534
7.3,28,25.758548
7.5,26,25.83056
8.6,15,25.884569
8.0,21,25.94358
9.5,6,25.963083
7.9,22,26.037596
8.7,14,26.083104
9.8,3,26.092605
9.8,3,26.103107
8.3,18,26.162118
9.3,8,26.187622
9.5,6,26.209126
7.9,22,26.634199
7.4,27,26.719714
8.2,19,26.787726
8.9,12,26.830233
8.3,18,26.889244
9.6,5,26.908247
8.3,18,26.970258
9.5,6,26.990761
7.9,22,27.058273
7.2,29,27.141288
8.6,15,27.184295
7.4,27,27.282312
5.9,42,27.750393
8.0,21,27.822406
9.5,6,27.841409
7.2,29,27.944927
8.7,14,27.988935
9.3,8,28.013439
8.5,16,28.062447
7.7,24,28.173967
9.6,5,28.190969
9.0,11,28.225976
9.5,6,28.246479
9.4,7,28.266483
9.4,7,28.289487
9.8,3,28.298988
8.6,15,28.342496
9.3,8,28.3645
8.8,13,28.401506
8.2,19,28.457016
4.8,53,28.9436
9.2,9,28.973105
9.6,5,28.989108
5.6,45,29.134133
9.0,11,29.16764
9.2,9,29.194644
9.1,10,29.22915
9.1,10,29.262656
7.8,23,29.327167
9.4,7,29.34917
9.2,9,29.376676
7.8,23,29.453189
8.7,14,29.500697
8.4,17,29.554707
9.2,9,29.581211
9.0,11,29.617717
8.4,17,29.671227
7.1,30,30.091799
9.0,11,30.124805
7.7,24,30.193817
8.6,15,30.241826
9.3,8,30.26783
5.9,42,30.390851
9.3,8,30.413855
7.5,26,30.494869
8.8,13,30.535877
7.8,23,30.604388
8.2,19,30.661898
7.4,27,30.744913
9.5,6,30.765416
7.5,26,31.166986
8.4,17,31.217995
8.5,16,31.262503
7.1,30,31.355019
8.5,16,31.403527
9.8,3,31.414029
7.8,23,31.485541
7.7,24,31.560054
9.1,10,31.59206
9.3,8,31.617564
9.3,8,31.642569
7.7,24,31.717082
9.4,7,31.742086
9.5,6,31.762589
9.1,10,31.792094
7.9,22,31.863107
6.6,35,32.303683
9.5,6,32.321187
9.5,6,32.338189
10.0,1,32.34119
10.0,1,32.344191
9.3,8,32.366694
9.8,3,32.375196
7.7,24,32.446208
9.1,10,32.478714
8.7,14,32.525722
7.8,23,32.598734
7.9,22,32.68975
7.7,24,32.783267
8.6,15,32.830275
9.9,2,32.836276
8.7,14,32.878783
9.4,7,32.900788
8.9,12,32.941294
8.4,17,32.988802
8.0,21,33.050813
9.2,9,33.079818
7.6,25,33.472886
8.1,20,33.532897
9.3,8,33.557901
7.3,28,33.636915
9.9,2,33.642416
6.6,35,33.750435
9.5,6,33.767438
7.6,25,33.83745
8.3,18,33.89296
8.2,19,33.954971
8.6,15,33.999978
9.2,9,34.029983
8.2,19,34.095994
7.7,24,34.170507
7.5,26,34.571577
8.9,12,34.610584
9.4,7,34.630588
8.0,21,34.691098
8.6,15,34.735105
8.9,12,34.772112
7.5,26,34.845124
9.2,9,34.871129
8.0,21,34.930639
8.2,19,34.986649
8.5,16,35.035657
8.6,15,35.079165
8.3,18,35.129674
9.1,10,35.157179
8.6,15,35.198686
8.8,13,35.235192
9.1,10,35.264697
8.6,15,35.62926
8.6,15,35.670768
8.6,15,35.712775
8.1,20,35.770785
9.1,10,35.80179
8.8,13,35.844298
8.4,17,35.891806
7.4,27,35.96932
8.8,13,36.005326
8.9,12,36.040832
9.0,11,36.073338
8.5,16,36.120346
7.9,22,36.182357
9.0,11,36.212862
6.6,35,36.313879
9.9,2,36.31938
9.2,9,36.674442
9.9,2,36.680443
8.4,17,36.727951
9.7,4,36.738953
8.1,20,36.794963
9.1,10,36.822468
8.8,13,36.892481
7.5,26,36.970994
-6.0,60,37.153525
9.5,6,37.173529
6.6,35,37.288548
8.9,12,37.324055
7.1,30,37.418571
8.1,20,37.803638
9.4,7,37.823641
9.4,7,37.843145
9.2,9,37.868649
9.1,10,37.897154
8.6,15,37.939661
8.0,21,38.001672
7.6,25,38.076685
9.4,7,38.096689
9.2,9,38.121693
8.2,19,38.180703
7.6,25,38.260217
9.8,3,38.270218
8.7,14,38.315727
7.8,23,38.379738
9.8,3,38.38824
9.5,6,38.405742
7.8,23,38.472754
9.1,10,38.500759
8.8,13,38.537265
9.2,9,38.881825
8.6,15,38.924833
8.9,12,38.960339
9.2,9,38.986343
7.5,26,39.062356
7.4,27,39.144371
9.3,8,39.166874
7.2,29,39.248389
8.7,14,39.294397
8.2,19,39.352407
9.8,3,39.360908
8.7,14,39.400415
9.6,5,39.414917
8.5,16,39.461426
7.9,22,39.523937
10.0,1,39.527437
7.9,22,39.596449
8.7,14,39.965013
9.5,6,39.982516
8.3,18,40.033525
8.9,12,40.068031
9.3,8,40.090535
7.8,23,40.155546
7.0,31,40.244061
8.1,20,40.301071
9.8,3,40.310573
8.8,13,40.34958
7.3,28,40.432594
4.1,60,40.620627
9.2,9,40.646631
9.2,9,40.673636
-6.0,60,41.193726
9.1,10,41.223732
9.4,7,41.243735
9.5,6,41.263238
8.4,17,41.311247
9.1,10,41.342752
8.9,12,41.376258
9.4,7,41.400262
9.1,10,41.429267
8.7,14,41.470274
9.4,7,41.490278
8.3,18,41.544787
6.1,40,41.656807
8.8,13,41.693313
8.4,17,41.741822
7.6,25,42.13739
8.4,17,42.185899
9.9,2,42.1924
9.9,2,42.1989
9.2,9,42.224405
7.8,23,42.289917
9.7,4,42.300919
9.7,4,42.312921
7.8,23,42.384933
9.4,7,42.407937
8.7,14,42.449444
7.5,26,42.525957
8.5,16,42.570965
8.9,12,42.604471
8.5,16,42.652479
8.4,17,42.699988
8.0,21,42.758998
8.1,20,42.815508
8.0,21,43.198574
7.5,26,43.271087
9.6,5,43.285089
8.7,14,43.327597
6.8,33,43.429614
9.8,3,43.440616
8.1,20,43.510128
6.2,39,43.646652
7.6,25,43.733167
9.0,11,43.773674
8.0,21,43.832684
8.2,19,43.890194
7.6,25,43.972208
8.0,21,44.370278
8.9,12,44.405284
8.4,17,44.460793
9.1,10,44.492799
8.8,13,44.535806
8.6,15,44.583815
9.7,4,44.595316
9.2,9,44.622821
9.0,11,44.653327
5.7,44,44.774848
8.6,15,44.823856
8.8,13,44.860862
9.4,7,44.880366
8.2,19,44.942377
9.1,10,44.977383
9.1,10,45.005388
8.7,14,45.044394
7.8,23,45.460467
8.9,12,45.499974
7.7,24,45.612493
9.6,5,45.626996
9.0,11,45.662502
8.3,18,45.714511
8.5,16,45.76602
8.0,21,45.832031
8.7,14,45.876539
9.8,3,45.886041
10.0,1,45.889541
8.9,12,45.929048
9.3,8,45.953552
8.9,12,45.990059
8.4,17,46.043068
9.4,7,46.069072
8.7,14,46.11258
8.4,17,46.17009
9.6,5,46.189593
9.9,2,46.195594
8.9,12,46.236101
9.7,4,46.249104
7.7,24,46.671677
9.1,10,46.708683
9.0,11,46.741689
9.4,7,46.761692
8.5,16,46.8067
8.3,18,46.858709
7.8,23,46.929722
9.0,11,46.968229
8.5,16,47.021738
9.7,4,47.03624
9.4,7,47.061745
8.9,12,47.098751
9.1,10,47.129756
9.4,7,47.155261
8.3,18,47.215271
7.8,23,47.284283
9.0,11,47.316789
9.7,4,47.330791
9.0,11,47.365797
9.8,3,47.374299
9.9,2,47.3803
8.0,21,47.444811
9.9,2,47.451312
8.8,13,47.854382
8.4,17,47.903891
8.4,17,47.962901
8.4,17,48.025412
8.0,21,48.096424
9.4,7,48.119928
8.7,14,48.164436
9.4,7,48.183939
8.3,18,48.234448
8.8,13,48.281456
9.0,11,48.314462
8.6,15,48.35747
7.7,24,48.426982
9.3,8,48.453486
8.8,13,48.495494
8.1,20,48.553504
8.8,13,48.596011
9.6,5,48.611514
9.8,3,48.620015
8.2,19,49.013084
7.5,26,49.091597
7.8,23,49.164109
8.9,12,49.204117
8.2,19,49.262627
9.0,11,49.294132
8.6,15,49.34214
8.2,19,49.405151
8.1,20,49.468162
9.6,5,49.484164
8.0,21,49.551177
7.5,26,49.62919
8.7,14,49.673198
8.7,14,49.716205
7.5,26,50.134278
8.8,13,50.173285
9.5,6,50.192788
9.3,8,50.217793
8.5,16,50.270802
8.7,14,50.310808
8.5,16,50.356817
9.3,8,50.381822
9.2,9,50.411827
9.0,11,50.448833
-6.0,60,50.637865
10.0,1,50.643366
8.5,16,50.694375
7.7,24,50.767888
8.0,21,50.831899
9.3,8,50.857404
8.4,17,51.236469
8.6,15,51.283978
8.9,12,51.321984
6.8,33,51.421001
9.6,5,51.437004
9.4,7,51.461509
7.8,23,51.539022
8.7,14,51.583529
8.5,16,51.632538
9.2,9,51.657542
8.5,16,51.706051
7.5,26,51.786565
8.7,14,51.831072
9.3,8,51.856577
8.0,21,51.923588
7.2,29,52.019105
9.1,10,52.377167
8.3,18,52.433677
9.4,7,52.453181
9.6,5,52.467183
7.9,22,52.529694
9.6,5,52.545696
7.4,27,52.633212
9.6,5,52.647214
8.9,12,52.68072
8.4,17,52.731729
9.6,5,52.745731
7.6,25,52.816243
7.9,22,52.881755
9.6,5,52.898758
9.2,9,52.924762
9.1,10,52.956268
8.8,13,52.997775
7.0,31,53.093292
8.8,13,53.131799
7.6,25,53.54337
7.6,25,53.623883
8.5,16,53.672892
7.7,24,53.750405
9.4,7,53.772409
9.5,6,53.790913
9.1,10,53.824419
9.4,7,53.846422
10.0,1,53.849423
8.1,20,53.911934
9.8,3,53.921935
9.5,6,53.943939
9.8,3,53.956441
9.2,9,53.985946
7.9,22,54.054458
6.4,37,54.173479
8.5,16,54.251993
7.6,25,54.676566
9.2,9,54.709072
8.0,21,54.771583
9.8,3,54.780084
9.5,6,54.799587
8.3,18,54.853097
9.0,11,54.885602
8.8,13,54.92761
8.1,20,54.992621
9.0,11,55.023626
8.7,14,55.071635
8.8,13,55.108141
8.7,14,55.147648
9.0,11,55.178653
8.2,19,55.237664
8.5,16,55.287172
8.6,15,55.32918
8.7,14,55.375688
7.3,28,55.782758
9.4,7,55.803262
9.1,10,55.831267
8.9,12,55.869273
8.4,17,55.917782
7.7,24,55.989294
8.4,17,56.043303
8.5,16,56.088311
8.3,18,56.13882
8.0,21,56.19683
9.2,9,56.222334
7.6,25,56.297347
9.5,6,56.31385
7.8,23,56.377362
8.0,21,56.438372
9.4,7,56.457875
9.0,11,56.48888
7.3,28,56.898452
7.8,23,56.967964
8.6,15,57.009971
9.7,4,57.021473
7.7,24,57.091985
8.9,12,57.125491
8.0,21,57.184501
7.7,24,57.251513
9.8,3,57.260015
8.4,17,57.314524
8.3,18,57.364533
9.8,3,57.373034
9.8,3,57.381536
9.1,10,57.410541
10.0,1,57.414041
7.5,26,57.495556
9.1,10,57.52456
8.0,21,57.587071
8.2,19,57.972638
9.7,4,57.984141
7.7,24,58.052152
7.5,26,58.125165
9.0,11,58.159671
8.8,13,58.196177
9.3,8,58.21818
7.8,23,58.285693
6.2,39,58.404713
4.5,56,58.567241
7.4,27,58.650256
8.8,13,59.028822
6.9,32,59.127339
8.0,21,59.19185
-6.0,60,59.373381
7.3,28,59.460397
9.6,5,59.475899
8.5,16,59.526908
8.8,13,59.566915
9.7,4,59.578417
7.9,22,59.645928
7.1,30,59.736444
7.3,28,60.157518
9.7,4,60.169019
9.7,4,60.180521
9.0,11,60.213527
6.3,38,60.322546
7.6,25,60.397059
6.5,36,60.501577
8.7,14,60.544085
10.0,1,60.547085
7.5,26,60.626599
7.8,23,60.694611
9.9,2,60.700612
8.2,19,60.753621
9.9,2,60.759622
7.8,23,60.823633
9.9,2,60.829634
9.7,4,60.840636
8.3,18,61.2112
8.6,15,61.253708
9.6,5,61.26771
8.8,13,61.304217
8.9,12,61.338222
5.4,47,61.473246
7.8,23,61.545758
7.6,25,61.617271
7.6,25,61.687283
9.0,11,61.720289
7.0,31,61.808804
9.4,7,61.828307
9.6,5,61.84281
8.2,19,61.896319
9.0,11,61.929325
8.2,19,62.303391
8.9,12,62.337896
9.2,9,62.3634
8.3,18,62.414409
8.9,12,62.450916
9.5,6,62.467919
9.7,4,62.479421
7.9,22,62.543432
9.8,3,62.551933
9.6,5,62.566936
7.0,31,62.682955
8.4,17,62.744467
9.0,11,62.785974
9.2,9,62.849485
9.6,5,62.863987
9.5,6,62.882991
8.3,18,62.947502
4.4,57,63.435086
8.0,21,63.498097
8.3,18,63.550106
7.1,30,63.647623
8.8,13,63.694131
8.9,12,63.732638
8.8,13,63.778646
7.0,31,63.877663
8.7,14,63.927672
9.7,4,63.942674
8.4,17,63.996185
9.2,9,64.022189
7.8,23,64.102202
6.7,34,64.208721
7.8,23,64.629794
8.8,13,64.676802
8.7,14,64.727811
9.4,7,64.750815
8.3,18,64.811325
8.1,20,64.879837
9.9,2,64.887338
7.4,27,64.985355
8.2,19,65.041865
9.2,9,65.06987
7.2,29,65.167887
7.5,26,65.2434
7.8,23,65.316913
8.8,13,65.35692
8.7,14,65.397927
7.2,29,65.840003
8.3,18,65.890513
8.2,19,65.957024
8.6,15,66.012034
8.7,14,66.061542
8.5,16,66.115052
8.4,17,66.172061
7.7,24,66.243073
8.3,18,66.303084
9.5,6,66.321587
9.6,5,66.33759
9.5,6,66.354593
9.3,8,66.377597
9.9,2,66.383098
9.0,11,66.414103
9.3,8,66.439108
8.7,14,66.478114
9.0,11,66.50912
8.1,20,66.56913
7.9,22,66.989703
8.8,13,67.03121
9.0,11,67.070217
9.7,4,67.082719
9.1,10,67.118225
9.0,11,67.153232
8.6,15,67.20424
9.7,4,67.218743
8.1,20,67.283254
9.3,8,67.307758
8.0,21,67.377271
8.4,17,67.43628
8.6,15,67.483789
8.9,12,67.522295
9.1,10,67.552801
7.6,25,67.629314
8.8,13,67.675322
7.9,22,67.746835
7.8,23,68.160906
8.3,18,68.222417
8.9,12,68.259423
9.8,3,68.270425
8.4,17,68.337437
8.2,19,68.407949
8.9,12,68.447956
8.2,19,68.514468
7.9,22,68.590981
7.2,29,68.693499
9.0,11,68.728505
9.5,6,68.748508
8.3,18,68.808519
9.1,10,68.843025
8.4,17,68.901535
8.4,17,68.965047
7.8,23,69.368616
8.6,15,69.417625
7.7,24,69.491137
9.4,7,69.511141
9.5,6,69.528144
9.9,2,69.535645
9.6,5,69.551648
8.6,15,69.600656
8.4,17,69.651665
9.8,3,69.660167
10.0,1,69.663667
8.2,19,69.722177
9.0,11,69.752683
8.8,13,69.789689
9.5,6,69.806192
8.5,16,69.8522
8.5,16,69.902209
8.3,18,69.957718
9.3,8,69.986223
7.0,31,70.08274
8.9,12,70.453804
8.4,17,70.507314
9.1,10,70.541319
8.9,12,70.581327
9.3,8,70.606831
7.3,28,70.697847
7.5,26,70.782862
7.0,31,70.883879
8.3,18,70.936888
8.4,17,70.983896
8.6,15,71.028404
6.4,37,71.143924
9.7,4,71.156926
8.2,19,71.216937
8.8,13,71.5825
8.7,14,71.625008
8.5,16,71.671516
7.8,23,71.739028
9.2,9,71.767032
8.6,15,71.81004
9.5,6,71.829543
10.0,1,71.832544
8.7,14,71.872051
8.2,19,71.930561
9.3,8,71.953064
8.0,21,72.046581
9.4,7,72.070085
7.9,22,72.135596
7.7,24,72.209109
7.9,22,72.276621
9.9,2,72.282622
9.3,8,72.305126
9.3,8,72.32863
7.9,22,72.719698
5.8,43,72.854221
8.2,19,72.912971
7.4,27,72.993745
9.8,3,73.002247
9.2,9,73.030252
9.9,2,73.036253
8.4,17,73.084261
8.3,18,73.13677
9.6,5,73.151273
7.6,25,73.227786
9.9,2,73.234287
8.4,17,73.288796
8.7,14,73.334304
7.8,23,73.409817
7.8,23,73.48383
6.8,33,73.928407
8.1,20,73.988418
7.4,27,74.071933
-6.0,60,74.271967
7.6,25,74.357482
9.9,2,74.363483
7.3,28,74.449498
9.3,8,74.472002
7.5,26,74.545013
7.8,23,74.609526
9.9,2,74.617027
9.2,9,74.971588
9.6,5,74.986091
9.3,8,75.008595
7.8,23,75.074106
7.7,24,75.140618
9.2,9,75.166122
9.4,7,75.186126
9.0,11,75.219131
7.3,28,75.300646
7.7,24,75.377159
7.7,24,75.446671
9.4,7,75.466174
8.0,21,75.524685
9.0,11,75.559191
8.2,19,75.6137
9.6,5,75.628202
7.6,25,75.700715
7.3,28,76.107786
8.2,19,76.162795
7.8,23,76.227306
7.1,30,76.314822
8.0,21,76.377832
9.2,9,76.403837
7.4,27,76.486351
7.9,22,76.553863
7.5,26,76.640878
8.6,15,76.684886
8.1,20,76.747897
9.0,11,76.778902
9.4,7,77.125962
8.6,15,77.16847
8.4,17,77.215978
8.0,21,77.274488
8.8,13,77.311995
8.6,15,77.358503
7.5,26,77.450519
7.3,28,77.531033
9.7,4,77.542535
7.6,25,77.613547
8.6,15,77.68956
7.8,23,77.793578
8.0,21,77.877093
10.0,1,77.880594
8.6,15,77.929602
9.6,5,77.953606
9.6,5,77.971109
8.9,12,78.328671
9.1,10,78.357176
7.8,23,78.424688
6.8,33,78.519704
9.3,8,78.542708
8.7,14,78.585216
8.1,20,78.642226
8.2,19,78.699236
9.7,4,78.710238
8.6,15,78.752745
8.8,13,78.789251
8.9,12,78.823257
7.8,23,78.888768
9.1,10,78.917773
9.4,7,78.942278
8.0,21,79.005289
9.7,4,79.016791
9.8,3,79.026793
8.4,17,79.396356
7.3,28,79.478871
8.6,15,79.521378
7.8,23,79.58789
7.9,22,79.656401
8.5,16,79.70491
8.9,12,79.742416
7.7,24,79.809928
10.0,1,79.812928
8.9,12,79.846435
7.6,25,79.920948
7.4,27,79.99546
8.6,15,80.038968
7.7,24,80.112481
8.1,20,80.496047
9.2,9,80.521552
8.3,18,80.57206
9.4,7,80.591564
8.7,14,80.633071
9.1,10,80.664577
9.0,11,80.724587
7.6,25,80.8011
7.4,27,80.882115
9.5,6,80.899617
8.0,21,80.964628
8.6,15,81.007136
8.2,19,81.064646
8.2,19,81.117655
9.4,7,81.137659
8.7,14,81.177166
8.8,13,81.215172
8.6,15,81.574234
8.2,19,81.632245
9.0,11,81.667751
8.2,19,81.72526
9.7,4,81.736763
9.4,7,81.757266
8.5,16,81.805274
7.1,30,81.891289
8.9,12,81.929796
9.9,2,81.936297
8.4,17,81.990807
8.5,16,82.035814
8.9,12,82.06932
7.3,28,82.148834
9.7,4,82.160336
6.8,33,82.256353
8.2,19,82.631418
8.8,13,82.668424
8.6,15,82.710932
8.7,14,82.752439
8.4,17,82.799947
9.6,5,82.813949
8.9,12,82.848456
9.1,10,82.877961
10.0,1,82.881461
8.9,12,82.918468
9.8,3,82.927469
9.5,6,82.946472
9.0,11,82.977478
8.9,12,83.011484
9.9,2,83.016985
8.7,14,83.056992
8.1,20,83.115502
8.6,15,83.159009
8.3,18,83.211019
8.5,16,83.256026
8.4,17,83.306035
9.8,3,83.315537
9.7,4,83.327039
8.4,17,83.697603
7.5,26,83.775116
9.1,10,83.806622
9.5,6,83.826625
7.7,24,83.900638
8.1,20,83.96865
8.6,15,84.014158
8.7,14,84.055165
9.6,5,84.071668
7.7,24,84.144681
8.9,12,84.181187
8.6,15,84.223694
6.6,35,84.344715
9.6,5,84.362719
8.1,20,84.452734
7.7,24,84.878308
8.0,21,84.94782
8.5,16,84.992828
8.7,14,85.032835
7.6,25,85.109848
7.4,27,85.18536
9.4,7,85.205364
7.6,25,85.288879
7.9,22,85.367393
7.0,31,85.457908
7.4,27,85.544423
9.2,9,85.574929
8.6,15,85.624437
5.4,47,86.128025
9.6,5,86.142027
10.0,1,86.145028
9.5,6,86.162031
7.6,25,86.254046
8.0,21,86.327559
9.6,5,86.344062
8.8,13,86.382069
8.0,21,86.459082
8.7,14,86.50109
9.2,9,86.526594
9.3,8,86.549098
9.2,9,86.575102
8.3,18,86.630112
8.2,19,86.693623
8.0,21,86.759634
8.4,17,86.814644
7.5,26,87.25222
8.4,17,87.304729
8.9,12,87.344736
9.1,10,87.373241
10.0,1,87.376241
8.5,16,87.42375
8.4,17,87.480259
7.2,29,87.568275
6.9,32,87.680294
8.1,20,87.745305
-6.9,60,87.939339
-6.0,60,88.481933
9.3,8,88.511438
9.4,7,88.530942
9.0,11,88.562447
8.6,15,88.607455
8.0,21,88.683468
9.6,5,88.697971
9.2,9,88.726976
7.8,23,88.80949
8.8,13,88.854498
9.7,4,88.8675
8.9,12,88.910507
8.7,14,88.956516
9.8,3,88.965016
8.2,19,89.018026
9.7,4,89.032529
9.2,9,89.061534
7.5,26,89.15205
8.3,18,89.21156
9.3,8,89.591126
9.4,7,89.611629
9.7,4,89.622631
8.7,14,89.667639
6.1,40,89.823666
10.0,1,89.827167
8.5,16,89.880176
8.8,13,89.922183
9.2,9,89.947187
9.0,11,89.982194
8.5,16,90.032702
8.9,12,90.071709
9.3,8,90.098214
9.1,10,90.130719
8.5,16,90.182729
7.8,23,90.255241
7.5,26,90.336255
9.6,5,90.350758
7.8,23,90.755828
8.7,14,90.797835
7.7,24,90.875349
7.2,29,90.969365
9.7,4,90.982867
8.8,13,91.027375
8.9,12,91.061381
8.6,15,91.110389
9.8,3,91.120391
7.9,22,91.184402
8.4,17,91.232911
9.8,3,91.242412
8.0,21,91.308424
7.8,23,91.381436
8.2,19,91.441947
6.7,34,91.539464
9.2,9,91.893525
7.6,25,91.973539
8.7,14,92.012547
9.3,8,92.03605
8.4,17,92.087059
9.7,4,92.101561
9.5,6,92.121065
9.9,2,92.127566
7.7,24,92.205079
7.8,23,92.270591
8.5,16,92.316599
9.9,2,92.3246
9.3,8,92.347604
9.9,2,92.353654
8.6,15,92.398613
8.7,14,92.444621
8.9,12,92.483128
8.7,14,92.528136
8.4,17,92.579144
8.0,21,92.644155
7.7,24,93.076731
9.7,4,93.089733
8.3,18,93.146743
7.6,25,93.224756
9.8,3,93.233258
7.8,23,93.300269
9.8,3,93.309771
8.9,12,93.350778
10.0,1,93.354279
6.9,32,93.454296
9.7,4,93.465798
8.3,18,93.516308
9.1,10,93.546312
8.8,13,93.584819
8.7,14,93.625826
8.8,13,93.666333
9.1,10,93.696338
8.9,12,93.729844
7.6,25,94.133414
6.8,33,94.234432
8.5,16,94.28544
7.9,22,94.352452
9.3,8,94.380957
7.7,24,94.45297
8.4,17,94.506479
8.0,21,94.57149
8.5,16,94.616998
8.1,20,94.676508
9.5,6,94.694011
9.9,2,94.700012
7.6,25,94.770025
8.1,20,94.826034
7.9,22,94.909549
9.8,3,95.250108
9.1,10,95.278113
9.5,6,95.297616
8.4,17,95.345624
7.0,31,95.43364
8.1,20,95.495651
7.8,23,95.563662
8.1,20,95.619672
8.6,15,95.662679
8.8,13,95.703687
7.4,27,95.7797
9.4,7,95.799203
7.2,29,95.883718
8.7,14,95.931726
8.7,14,95.971733
9.1,10,96.318793
8.4,17,96.369802
9.7,4,96.381304
7.8,23,96.449816
8.3,18,96.504325
8.1,20,96.563836
7.6,25,96.634348
9.2,9,96.663853
7.1,30,96.750868
8.5,16,96.795876
9.4,7,96.81788
9.0,11,96.854386
8.3,18,96.904896
8.1,20,96.961405
8.2,19,97.018415
7.2,29,97.440988
9.0,11,97.477994
7.3,28,97.563509
9.9,2,97.56951
7.7,24,97.639022
9.7,4,97.651024
8.2,19,97.710535
7.3,28,97.791049
9.7,4,97.802551
9.1,10,97.830556
9.2,9,97.85606
9.3,8,97.879064
8.3,18,97.933074
8.8,13,97.97058
6.5,36,98.078599
8.8,13,98.116105
8.0,21,98.533178
5.7,44,98.664701
7.7,24,98.738713
8.4,17,98.789722
9.6,5,98.805725
9.5,6,98.822728
9.2,9,98.853233
8.3,18,98.906242
9.6,5,98.920745
8.3,18,98.972254
9.1,10,99.002759
9.4,7,99.022763
9.9,2,99.028764
9.6,5,99.045266
8.1,20,99.108778
6.3,38,99.217296
7.6,25,99.615865
9.7,4,99.626868
8.7,14,99.666374
9.3,8,99.689378
8.2,19,99.744388
8.9,12,99.780394
7.9,22,99.842405
8.4,17,99.893414
9.4,7,99.915418
7.9,22,99.977428
6.6,35,100.079946
8.7,14,100.121453
8.5,16,100.167961
8.0,21,100.226472
8.8,13,100.263478
7.2,29,100.349993
7.6,25,100.73506
8.6,15,100.777567
8.5,16,100.825575
8.6,15,100.867583
7.9,22,100.933596
8.6,15,100.977602
9.1,10,101.005106
7.5,26,101.083621
8.8,13,101.120126
9.2,9,101.145131
9.7,4,101.156633
7.2,29,101.238147
7.3,28,101.318161
8.2,19,101.37117
8.2,19,101.738734
9.4,7,101.758737
8.9,12,101.792743
7.4,27,101.872257
8.5,16,101.923266
8.2,19,101.979276
7.1,30,102.065791
9.9,2,102.071792
8.4,17,102.1193
7.7,24,102.186312
9.5,6,102.204815
8.5,16,102.256324
8.9,12,102.29033
8.3,18,102.341339
7.6,25,102.413851
8.2,19,102.791417
8.0,21,102.850927
7.7,24,102.920439
9.2,9,102.947944
8.3,18,103.000953
8.0,21,103.070465
9.1,10,103.10047
8.9,12,103.135477
8.7,14,103.174483
6.9,32,103.265499
8.2,19,103.318508
8.9,12,103.352514
7.2,29,103.434028
8.9,12,103.469534
6.5,36,103.900609
8.0,21,103.96612
8.9,12,104.000127
7.5,26,104.07814
8.8,13,104.118147
7.7,24,104.184659
9.7,4,104.19616
8.1,20,104.25167
6.9,32,104.340686
9.6,5,104.355188
8.1,20,104.4242
