#{"t_start": 1784477804.0824566, "env_id": "None"}
r,l,t
-6.9,60,64.265207
-6.0,60,64.754792
-6.9,60,64.954827
-6.0,60,65.14686
-6.0,60,65.335393
-6.9,60,65.533427
-13.2,60,66.039015
-12.3,60,66.227548
-8.7,60,66.425582
-6.0,60,66.614115
7.5,26,67.005682
9.6,5,67.022686
-6.0,60,67.208718
-6.0,60,67.406252
-6.9,60,67.612288
6.7,34,67.715806
-7.8,60,68.223894
-9.6,60,68.417428
-6.0,60,68.613962
-6.0,60,68.793493
-6.9,60,69.303082
-6.9,60,69.514118
7.9,22,69.58163
-12.3,60,69.772162
-6.0,60,69.959195
5.2,49,70.414775
8.4,8,70.440279
-8.7,60,70.626811
-6.0,60,70.816344
-12.3,60,71.007877
-6.0,60,71.201411
-6.9,60,71.703998
-7.8,60,71.877029
-9.6,60,72.077063
-10.5,60,72.264096
-6.9,60,72.767683
-7.8,60,72.950714
-10.5,60,73.128245
-6.9,60,73.312278
-6.0,60,73.807863
8.9,12,73.845869
-7.8,60,74.039403
-6.0,60,74.228936
-6.0,60,74.42197
5.6,45,74.854545
-6.9,60,75.028075
-11.4,60,75.197104
9.3,8,75.224609
-7.8,60,75.40314
4.2,59,75.57217
-6.0,60,76.047751
-6.9,60,76.225282
-8.7,60,76.403313
-12.3,60,76.576844
-7.8,60,77.052927
-9.6,60,77.225456
-6.0,60,77.400987
-10.5,60,77.569516
-10.5,60,78.043599
7.3,28,78.125612
8.1,20,78.187624
-8.7,60,78.382657
-6.9,60,78.561687
-14.1,60,78.732218
-6.9,60,79.225303
-6.0,60,79.420837
-6.0,60,79.599868
-6.9,60,79.769897
-6.9,60,80.255982
-7.8,60,80.438015
-6.0,60,80.609044
9.2,9,80.636049
-6.9,60,80.807578
-6.0,60,81.278159
-6.0,60,81.45319
-6.0,60,81.62222
8.8,13,81.660726
-6.0,60,81.827755
-11.4,60,82.297837
-7.8,60,82.474367
-7.8,60,82.644397
-6.0,60,82.820427
9.6,5,82.83593
-9.6,60,83.310012
-6.0,60,83.483542
-6.0,60,83.652571
-6.9,60,83.834604
-8.7,60,84.301685
8.4,17,84.361194
-6.9,60,84.557729
-6.9,60,84.757263
-6.0,60,84.942296
-6.0,60,85.443883
-6.9,60,85.631915
-6.9,60,85.822948
3.0,53,85.996479
-6.0,60,86.167008
-6.0,60,86.688098
-7.8,60,86.896135
7.9,22,86.970148
-7.8,60,87.160181
9.5,6,87.182685
-6.0,60,87.388721
6.7,25,87.781288
